Sentence1	Sentence 2
Do your standard delivery / contract terms: warrant a performance standard greater than reasonable care and skill? (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Do your standard delivery / contract terms: provide for an unlimited warranty period? (Yes/No)	If yes, Please provide the name of the top 10 critical providers 
Do your standard delivery / contract terms: provide for an unlimited warranty period? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Do your standard delivery / contract terms: provide for an unlimited warranty period? (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required? 
Do your standard delivery / contract terms: provide for an unlimited warranty period? (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Do your standard delivery / contract terms: provide for an unlimited warranty period? (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Do your standard delivery / contract terms: allow for changes to the scope of work without a written variation of contract? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Do your standard delivery / contract terms: allow for changes to the scope of work without a written variation of contract? (Yes/No)	Description of Business Activites? 
Do your standard delivery / contract terms: allow for changes to the scope of work without a written variation of contract? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Do your standard delivery / contract terms: allow for changes to the scope of work without a written variation of contract? (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Do your standard delivery / contract terms: allow for changes to the scope of work without a written variation of contract? (Yes/No)	Date established? 
Do your standard delivery / contract terms: provide indemnities to your clients (other than for liability for intellectual property rights, death, bodily injury, and/or property damage)? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Do your standard delivery / contract terms: provide indemnities to your clients (other than for liability for intellectual property rights, death, bodily injury, and/or property damage)? (Yes/No)	Please provide the following details for your top 5 clients? 
Do your standard delivery / contract terms: provide indemnities to your clients (other than for liability for intellectual property rights, death, bodily injury, and/or property damage)? (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Do your standard delivery / contract terms: provide indemnities to your clients (other than for liability for intellectual property rights, death, bodily injury, and/or property damage)? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
Do your standard delivery / contract terms: provide indemnities to your clients (other than for liability for intellectual property rights, death, bodily injury, and/or property damage)? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Do your standard delivery / contract terms: provide indemnities to your clients (other than for liability for intellectual property rights, death, bodily injury, and/or property damage)? (Yes/No)	If yes, Please provide the name of the top 10 critical providers 
Do your standard delivery / contract terms: provide indemnities to your clients (other than for liability for intellectual property rights, death, bodily injury, and/or property damage)? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Do your standard delivery / contract terms: provide indemnities to your clients (other than for liability for intellectual property rights, death, bodily injury, and/or property damage)? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Do your standard delivery / contract terms: provide indemnities to your clients (other than for liability for intellectual property rights, death, bodily injury, and/or property damage)? (Yes/No)	Please provide the following details for your top 5 clients? 
Do your standard delivery / contract terms: provide indemnities to your clients (other than for liability for intellectual property rights, death, bodily injury, and/or property damage)? (Yes/No)	If you ticked on others, please specify? 
Do you engage in business to consumer (B2C) contracts? (Yes / No) (Show optional when yes)	Description of Business Activites 
Do you engage in business to consumer (B2C) contracts? (Yes / No) (Show optional when yes)	If you ticked on others, please specify? 
Do you engage in business to consumer (B2C) contracts? (Yes / No) (Show optional when yes)	Please provide the following details for your top 5 clients? 
Do you engage in business to consumer (B2C) contracts? (Yes / No) (Show optional when yes)	If yes, Please provide the name of the top 10 critical providers? 
Do you engage in business to consumer (B2C) contracts? (Yes / No) (Show optional when yes)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
What is the largest value per transaction during the last 12 months? Please include currency	Last 12 Months Gross Revenue($) 
What is the largest value per transaction during the last 12 months? Please include currency	Revenue From US Sales (%)? 
What is the largest value per transaction during the last 12 months? Please include currency	Date established? 
What is the largest value per transaction during the last 12 months? Please include currency	Please provide the following details for your top 5 clients? 
What is the largest value per transaction during the last 12 months? Please include currency	Please complete the answers to the questions below. Where you do not have the exact information available please provide the closest approximation and indicate that you have taken this approach. 
What is the average value per transaction during the last 12 months? Please include currency	Last 12 Months Gross Revenue($) 
What is the average value per transaction during the last 12 months? Please include currency	Revenue From US Sales (%)? 
What is the average value per transaction during the last 12 months? Please include currency	Please complete the answers to the questions below. Where you do not have the exact information available please provide the closest approximation and indicate that you have taken this approach. 
What is the average value per transaction during the last 12 months? Please include currency	Description of Business Activites? 
What is the average value per transaction during the last 12 months? Please include currency	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Do you maintain an independent annual audit of your business functions including IT? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Do you maintain an independent annual audit of your business functions including IT? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Do you maintain an independent annual audit of your business functions including IT? (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Do you maintain an independent annual audit of your business functions including IT? (Yes/No)	Last 12 Months Gross Revenue($)? 
Do you maintain an independent annual audit of your business functions including IT? (Yes/No)	Description of Business Activites? 
Are all publications and online material issued by the company reviewed by an in-house legal department and/or outside legal advisers? (Yes/No)	If yes, Please provide the name of the top 10 critical providers 
Are all publications and online material issued by the company reviewed by an in-house legal department and/or outside legal advisers? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Are all publications and online material issued by the company reviewed by an in-house legal department and/or outside legal advisers? (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Are all publications and online material issued by the company reviewed by an in-house legal department and/or outside legal advisers? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Are all publications and online material issued by the company reviewed by an in-house legal department and/or outside legal advisers? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Customer profile/description of Customer/User?	Please provide the following details for your top 5 clients 
Customer profile/description of Customer/User?	Company Name? 
Customer profile/description of Customer/User?	Who is responsible for IT security within your organisation (by job title)? 
Customer profile/description of Customer/User?	Website address? 
Customer profile/description of Customer/User?	Number of employees? 
Regions of Customer/User are based/domiciled?	Please provide the following details for your top 5 clients 
Regions of Customer/User are based/domiciled?	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Regions of Customer/User are based/domiciled?	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Regions of Customer/User are based/domiciled?	Description of Business Activites? 
Regions of Customer/User are based/domiciled?	Primary Address (Address, County, Postcode, Country? 
Current number of users?	Number of employees 
Current number of users?	Please provide the following details for your top 5 clients? 
Current number of users?	Last 12 Months Gross Revenue($)? 
Current number of users?	Revenue From US Sales (%)? 
Current number of users?	If you ticked on others, please specify? 
Expected number of users in 12 months?	Last 12 Months Gross Revenue($) 
Expected number of users in 12 months?	Number of employees? 
Expected number of users in 12 months?	Please provide the following details for your top 5 clients? 
Expected number of users in 12 months?	Please describe your data retention policy, including details of how often you purge records that are no longer required? 
Expected number of users in 12 months?	Revenue From US Sales (%)? 
Overview of technology infrastructure being used?	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Overview of technology infrastructure being used?	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
Overview of technology infrastructure being used?	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Overview of technology infrastructure being used?	Please provide the following details for your top 5 clients? 
Overview of technology infrastructure being used?	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Type of Regulatory Licenses being used?	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Type of Regulatory Licenses being used?	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
Type of Regulatory Licenses being used?	Description of Business Activites? 
Type of Regulatory Licenses being used?	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Type of Regulatory Licenses being used?	Who is responsible for IT security within your organisation (by job title)? 
Are AISP/PISP activities being provided? (Yes/No)	Description of Business Activites 
Are AISP/PISP activities being provided? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Are AISP/PISP activities being provided? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Are AISP/PISP activities being provided? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
Are AISP/PISP activities being provided? (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
Are any crypto activities being offered? (Yes/No)	If yes, Please provide the name of the top 10 critical providers 
Are any crypto activities being offered? (Yes/No)	Description of Business Activites? 
Are any crypto activities being offered? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other? 
Are any crypto activities being offered? (Yes/No)	Please provide the following details for your top 5 clients? 
Are any crypto activities being offered? (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
Financial Crime Process in place? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other 
Financial Crime Process in place? (Yes/No)	Description of Business Activites? 
Financial Crime Process in place? (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required? 
Financial Crime Process in place? (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Financial Crime Process in place? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
Anti-Money Laundering (AML) Process in place? (Yes/No)	Description of Business Activites 
Anti-Money Laundering (AML) Process in place? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Anti-Money Laundering (AML) Process in place? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
Anti-Money Laundering (AML) Process in place? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Anti-Money Laundering (AML) Process in place? (Yes/No)	Last 12 Months Gross Revenue($)? 
Treating Customer Fairly (TCF) Process in place? (Yes/No)	Please provide the following details for your top 5 clients 
Treating Customer Fairly (TCF) Process in place? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Treating Customer Fairly (TCF) Process in place? (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
Treating Customer Fairly (TCF) Process in place? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
Treating Customer Fairly (TCF) Process in place? (Yes/No)	Description of Business Activites? 
Expected 12 months Value of Transactions? Please include currency	Last 12 Months Gross Revenue($) 
Expected 12 months Value of Transactions? Please include currency	Revenue From US Sales (%)? 
Expected 12 months Value of Transactions? Please include currency	Description of Business Activites? 
Expected 12 months Value of Transactions? Please include currency	Date established? 
Expected 12 months Value of Transactions? Please include currency	Please complete the answers to the questions below. Where you do not have the exact information available please provide the closest approximation and indicate that you have taken this approach. 
Expected 12 months number of Transactions?	Last 12 Months Gross Revenue($) 
Expected 12 months number of Transactions?	Please describe your data retention policy, including details of how often you purge records that are no longer required? 
Expected 12 months number of Transactions?	Description of Business Activites? 
Expected 12 months number of Transactions?	Number of employees? 
Expected 12 months number of Transactions?	Date established? 
Expected Average Transaction Size? Please include currency	Revenue From US Sales (%) 
Expected Average Transaction Size? Please include currency	Last 12 Months Gross Revenue($)? 
Expected Average Transaction Size? Please include currency	Please complete the answers to the questions below. Where you do not have the exact information available please provide the closest approximation and indicate that you have taken this approach. 
Expected Average Transaction Size? Please include currency	If you ticked on others, please specify? 
Expected Average Transaction Size? Please include currency	Description of Business Activites? 
Details of funding to-date/planned?	Date established 
Details of funding to-date/planned?	Last 12 Months Gross Revenue($)? 
Details of funding to-date/planned?	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other? 
Details of funding to-date/planned?	Company Name? 
Details of funding to-date/planned?	Description of Business Activites? 
How many personally identifiable information (PII) records or unique consumer records does the company currently hold (including employees)?	Number of employees 
How many personally identifiable information (PII) records or unique consumer records does the company currently hold (including employees)?	Who is responsible for IT security within your organisation (by job title)? 
How many personally identifiable information (PII) records or unique consumer records does the company currently hold (including employees)?	Please describe your data retention policy, including details of how often you purge records that are no longer required? 
How many personally identifiable information (PII) records or unique consumer records does the company currently hold (including employees)?	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
How many personally identifiable information (PII) records or unique consumer records does the company currently hold (including employees)?	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
How many personally identifiable information (PII) records or unique consumer records does the company expect to hold in 12 months (including employees)?	Please describe your data retention policy, including details of how often you purge records that are no longer required 
How many personally identifiable information (PII) records or unique consumer records does the company expect to hold in 12 months (including employees)?	Number of employees? 
How many personally identifiable information (PII) records or unique consumer records does the company expect to hold in 12 months (including employees)?	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
How many personally identifiable information (PII) records or unique consumer records does the company expect to hold in 12 months (including employees)?	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
How many personally identifiable information (PII) records or unique consumer records does the company expect to hold in 12 months (including employees)?	Who is responsible for IT security within your organisation (by job title)? 
Does the company hold or process any of the following types of sensitive data? - Financial information (including credit/debit card records), - Medical information - Identity information (including NI number or passport details) - Names, addresses, telephone numbers	Who is responsible for IT security within your organisation (by job title)? 
Does the company hold or process any of the following types of sensitive data? - Financial information (including credit/debit card records), - Medical information - Identity information (including NI number or passport details) - Names, addresses, telephone numbers	Company Name? 
Does the company hold or process any of the following types of sensitive data? - Financial information (including credit/debit card records), - Medical information - Identity information (including NI number or passport details) - Names, addresses, telephone numbers	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Does the company hold or process any of the following types of sensitive data? - Financial information (including credit/debit card records), - Medical information - Identity information (including NI number or passport details) - Names, addresses, telephone numbers	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Does the company hold or process any of the following types of sensitive data? - Financial information (including credit/debit card records), - Medical information - Identity information (including NI number or passport details) - Names, addresses, telephone numbers	If yes, Please provide the name of the top 10 critical providers? 
Have a dedicated individual responsible for information security and privacy (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Have a dedicated individual responsible for information security and privacy (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
Have a dedicated individual responsible for information security and privacy (Yes/No)	Please confirm whether multi-factor authentication is always enabled on all email accounts for remote access? 
Have a dedicated individual responsible for information security and privacy (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
Have a dedicated individual responsible for information security and privacy (Yes/No)	Please provide the following details for your top 5 clients? 
