question1	question2	is_duplicate
Please state whether the following services are undertaken in house or outsourced to a 3rd party. If outsourced, please name vendor below.	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
The company has not been adversely affected by or suffered any loss from any: unforeseen down time to its website or IT network of more than 3 hours? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other	0
Do your standard delivery / contract terms: warrant a performance standard greater than reasonable care and skill? (Yes/No)	If yes, Please provide the name of the top 10 critical providers	0
Have a process to delete systems access within 48 hours after employee termination (Yes/No)	Date established?	0
Have a dedicated individual responsible for information security and privacy (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
Is the company authorised and regulated by the Financial Conduct Authority?	Who is responsible for IT security within your organisation (by job title)?	0
Do you scan and filter inbound emails for malicious content (such as executable files)? (Yes/No)	Do you maintain daily offline back-ups of all critical data?	0
No claims (successful or otherwise) have been made against or have been threatened to made against: any director, partner or officer in respect to any wrongful act committed by them whilst acting in such capacity? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other	0
In your DRP / BCP, how long would it take for you to be fully operational again following an incident?	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other?	0
Please confirm your total number of employees	If you ticked on others, please specify?	0
Company name	Company Name	1
In your DRP / BCP, how long would it take for you to be fully operational again following an incident?	Please describe your data retention policy, including details of how often you purge records that are no longer required	0
The company has not suffered from any attempt, successful or otherwise: to steal any money, financial instruments or any other asset that it either owns or for which it is legally responsible. (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other?	0
Please list the five largest contracts undertaken during the last 3 years	If yes, Please provide the name of the top 10 critical providers?	0
Do you use a standard form of contract, agreement or letter of appointment with regard to services performed?	Who is responsible for IT security within your organisation (by job title)?	0
Do your standard delivery / contract terms: allow for changes to the scope of work without a written variation of contract? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
If NO to any of the above, please detail below along with mitigating comments	Please provide the following details for your top 5 clients?	0
What is the largest value per transaction during the last 12 months? Please include currency	Last 12 Months Gross Revenue($)	0
If the company has been established for less than 3 years, can you confirm that one or more of the Directors has at least 3 years’ experience in the relevant industry? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
If more than one Company is being covered by this policy, Do they utilise different vendors for these services? (Yes / No) (Show optional when yes)	If yes, Please provide the name of the top 10 critical providers	0
Please provide annual financial details for the past year, current year and the projected income for the next financial year.	Company Name?	0
Overview of technology infrastructure being used?	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
Does your Incident Response Plan reference mitigation steps for business continuity and recovery should a ransomware incident occur? (Yes/No)	Do you maintain daily offline back-ups of all critical data?	0
The company has not suffered from any attempt, successful or otherwise: to steal any money, financial instruments or any other asset that it either owns or for which it is legally responsible. (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
If you have entered a Rest of the World number, please list applicable countries below	If yes, Please provide the name of the top 10 critical providers?	0
Expected number of users in 12 months?	Please provide the following details for your top 5 clients?	0
Do you enforce a BYOD (Bring Your Own Device) policy that ensures critical data is encrypted when transferred to portable media devices (USBs, Laptops etc)? (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
Type of Regulatory Licenses being used?	Description of Business Activites?	0
What is the average value per transaction during the last 12 months? Please include currency	Revenue From US Sales (%)?	0
Do you authenticate inbound email using tools such as DMARC (Domain-Based Message Authentication)? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
Have restricted access to sensitive data (including physical records) (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required?	0
Current number of users?	Revenue From US Sales (%)?	0
You perform regular backups and periodically monitor the quality of the backups (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required?	0
Is the company authorised and regulated by the Financial Conduct Authority?	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
Do you train end users against phishing and social engineering threats via ongoing campaigns and assessments? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other?	0
Expected Average Transaction Size? Please include currency	Revenue From US Sales (%)	0
Have a process to delete systems access within 48 hours after employee termination (Yes/No)	Do you maintain daily offline back-ups of all critical data?	0
You use firewalls and other security applications between the internet and sensitive data (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering	0
Have written information security policies and procedures that are reviewed annually and communicated to all employees including information security awareness training (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
Current number of users?	Please provide the following details for your top 5 clients?	0
Do you take regular backups of critical data? (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required?	0
If you have entered a Rest of the World number, please list applicable countries below	If you ticked on others, please specify?	0
Do your standard delivery / contract terms: accept liability for consequential or indirect losses? (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
Please provide a full description of your business activities and detail if there are any anticipated changes to the activities in the next 12 months	Description of Business Activites	0
You use anti-virus, anti-spyware and anti-malware software and update them regularly (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other?	0
Is the company authorised and regulated by any other regulator?	Who is responsible for IT security within your organisation (by job title)?	0
You ensure all sensitive data on your system is encrypted (Yes/No)	Do you maintain daily offline back-ups of all critical data?	0
Do you take regular backups of critical data? (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
Do your standard delivery / contract terms: provide for an unlimited warranty period? (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required?	0
Please provide annual financial details for the past year, current year and the projected income for the next financial year.	Please complete the answers to the questions below. Where you do not have the exact information available please provide the closest approximation and indicate that you have taken this approach.	0
Have restricted access to sensitive data (including physical records) (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
Does the company hold or process any of the following types of sensitive data? - Financial information (including credit/debit card records), - Medical information - Identity information (including NI number or passport details) - Names, addresses, telephone numbers	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
Have written information security policies and procedures that are reviewed annually and communicated to all employees including information security awareness training (Yes/No)	Who is responsible for IT security within your organisation (by job title)?	0
Do you authenticate inbound email using tools such as DMARC (Domain-Based Message Authentication)? (Yes/No)	Please confirm whether multi-factor authentication is always enabled on all email accounts for remote access	0
If the company has been established for less than 3 years, can you confirm that one or more of the Directors has at least 3 years’ experience in the relevant industry? (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
How many personally identifiable information (PII) records or unique consumer records does the company expect to hold in 12 months (including employees)?	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
What is the largest value per transaction during the last 12 months? Please include currency	Revenue From US Sales (%)?	0
You use intrusion detection or intrusion prevention systems (IDS/IPS) and these are monitored (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
Do you train end users against phishing and social engineering threats via ongoing campaigns and assessments? (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering	0
Please state whether the following services are undertaken in house or outsourced to a 3rd party. If outsourced, please name vendor below.	Please provide the following details for your top 5 clients?	0
Please provide a full description of your business activities and detail if there are any anticipated changes to the activities in the next 12 months	Last 12 Months Gross Revenue($)?	0
If you have entered a Rest of the World number, please list applicable countries below	Please provide the following details for your top 5 clients?	0
Do your standard delivery / contract terms: allow for changes to the scope of work without a written variation of contract? (Yes/No)	Who is responsible for IT security within your organisation (by job title)?	0
Do your standard delivery / contract terms: accept liability for financial damages greater than the value of contract? (Yes/No)	Who is responsible for IT security within your organisation (by job title)?	0
Any ‘Associated’ or ‘Sister’ Companies? (Yes/No)	Please provide the following details for your top 5 clients?	0
Do your standard delivery / contract terms: include any form of liquidated damages? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
Do you maintain an independent annual audit of your business functions including IT? (Yes/No)	Do you maintain daily offline back-ups of all critical data?	0
The company has not been adversely affected by or suffered any loss from any: privacy breach, virus, distributed denial of service (DDOS), telephone phreaking or hacking incident? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other	0
What is the largest value per transaction during the last 12 months? Please include currency	Please complete the answers to the questions below. Where you do not have the exact information available please provide the closest approximation and indicate that you have taken this approach.	0
No claims (successful or otherwise) have been made against or have been threatened to made against: any director, partner or officer in respect to any wrongful act committed by them whilst acting in such capacity? (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
If you have entered a Rest of the World number, please list applicable countries below	Number of employees?	0
The company has not suffered from any attempt, successful or otherwise: of extortion against it by a threat to commit a theft, cyber-attack or other malicious or criminal event. (Yes/No)	Description of Business Activites?	0
In the last 5 years the company or any director/employee has not been subject to any regulatory investigation? (Yes/No)	Company Name?	0
Do you scan and filter inbound emails for malicious content (such as executable files)? (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering	0
Do you have a disaster recovery plan (DRP) and/or business continuity plan (BCP) in place?	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
Customer profile/description of Customer/User?	Company Name?	0
Does your Incident Response Plan reference mitigation steps for business continuity and recovery should a ransomware incident occur? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other	0
Type of Regulatory Licenses being used?	Who is responsible for IT security within your organisation (by job title)?	0
Name of company (insured)	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
Expected 12 months Value of Transactions? Please include currency	Date established?	0
Please list the five largest contracts undertaken during the last 3 years	Please provide the following details for your top 5 clients	0
You ensure all sensitive data on all removable media is encrypted (Yes/No)	Who is responsible for IT security within your organisation (by job title)?	0
Do you keep backups offline and segmented from your network? (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
Have a written incident management response plan (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required?	0
Does the company hold or process any of the following types of sensitive data? - Financial information (including credit/debit card records), - Medical information - Identity information (including NI number or passport details) - Names, addresses, telephone numbers	Company Name?	0
Do your standard delivery / contract terms: provide indemnities to your clients (other than for liability for intellectual property rights, death, bodily injury, and/or property damage)? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
Please outline any additional controls your organisation has in place to mitigate the threat of ransomware attacks (e.g. endpoint detection tools, tagging of external emails, use of unique credentials):	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering	0
Please outline any additional controls your organisation has in place to mitigate the threat of ransomware attacks (e.g. endpoint detection tools, tagging of external emails, use of unique credentials):	Please provide the following details for your top 5 clients?	0
Do your standard delivery / contract terms: provide indemnities to your clients (other than for liability for intellectual property rights, death, bodily injury, and/or property damage)? (Yes/No)	If you ticked on others, please specify?	0
If more than one Company is being covered by this policy, Do they utilise different vendors for these services? (Yes / No) (Show optional when yes)	Description of Business Activites?	0
Do you have a disaster recovery plan (DRP) and/or business continuity plan (BCP) in place?	If yes, Please provide the name of the top 10 critical providers?	0
The company has not been adversely affected by or suffered any loss from any: privacy breach, virus, distributed denial of service (DDOS), telephone phreaking or hacking incident? (Yes/No)	Company Name?	0
Perform background checks on all employees and contractors with access to sensitive data (Yes/No)	Who is responsible for IT security within your organisation (by job title)?	0
How often do you test your DRP / BCP?	Please describe your data retention policy, including details of how often you purge records that are no longer required?	0
Any ‘Associated’ or ‘Sister’ Companies? (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
Details of funding to-date/planned?	Company Name?	0
Have a dedicated individual responsible for information security and privacy (Yes/No)	Please confirm whether multi-factor authentication is always enabled on all email accounts for remote access?	0
You are not aware of any circumstance or problem that might in the future give rise to a claim against or a loss for the company or any of its directors, officers or partners that is covered under the proposed insurance policy? (Yes/No)	Company Name?	0
Do your standard delivery / contract terms: accept liability for financial damages greater than the value of contract? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
Perform background checks on all employees and contractors with access to sensitive data (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering	0
Expected 12 months Value of Transactions? Please include currency	Please complete the answers to the questions below. Where you do not have the exact information available please provide the closest approximation and indicate that you have taken this approach.	0
Overview of technology infrastructure being used?	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
Expected 12 months number of Transactions?	Last 12 Months Gross Revenue($)	0
If the company has been established for less than 3 years, can you confirm that one or more of the Directors has at least 3 years’ experience in the relevant industry? (Yes/No)	Company Name	0
Anti-Money Laundering (AML) Process in place? (Yes/No)	Last 12 Months Gross Revenue($)?	0
Do you scan and filter inbound emails for malicious content (such as executable files)? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other?	0
Please confirm your total number of employees	Number of employees	0
Expected 12 months number of Transactions?	Date established?	0
Do your standard delivery / contract terms: warrant a performance standard greater than reasonable care and skill? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
Expected 12 months Value of Transactions? Please include currency	Description of Business Activites?	0
Any ‘Associated’ or ‘Sister’ Companies? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
No claims (successful or otherwise) have been made against or have been threatened to made against: the company or any of its predecessors in respect to any negligence, breach of duty of care, infringement of any intellectual property right, libel or slander, dishonesty of any employee or to any other act, error or omission that that has or might have given rise to a claim? (Yes/No)	Company Name?	0
Only use operating systems that continue to be supported by the original provider (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
How many personally identifiable information (PII) records or unique consumer records does the company expect to hold in 12 months (including employees)?	Who is responsible for IT security within your organisation (by job title)?	0
In your DRP / BCP, how long would it take for you to be fully operational again following an incident?	Do you maintain daily offline back-ups of all critical data?	0
You ensure all sensitive data on all removable media is encrypted (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
No claims (successful or otherwise) have been made against or have been threatened to made against: any director, partner or officer in respect to any wrongful act committed by them whilst acting in such capacity? (Yes/No)	Who is responsible for IT security within your organisation (by job title)?	0
Is the integrity of these backups and your recovery plans regularly tested? (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required?	0
Customer profile/description of Customer/User?	Number of employees?	0
In your DRP / BCP, how long would it take for you to be fully operational again following an incident?	Do you maintain daily offline back-ups of all critical data?	0
If NO to any of the above, please provide full details:	Please provide the following details for your top 5 clients?	0
Are AISP/PISP activities being provided? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
Is the company authorised and regulated by any other regulator?	Company Name?	0
Are AISP/PISP activities being provided? (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
Anti-Money Laundering (AML) Process in place? (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
Please attach CVs of Directors	Please provide the following details for your top 5 clients?	0
Current number of users?	Number of employees	0
Do your standard delivery / contract terms: provide indemnities to your clients (other than for liability for intellectual property rights, death, bodily injury, and/or property damage)? (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
Are all publications and online material issued by the company reviewed by an in-house legal department and/or outside legal advisers? (Yes/No)	Who is responsible for IT security within your organisation (by job title)?	0
Customer profile/description of Customer/User?	Who is responsible for IT security within your organisation (by job title)?	0
Please confirm your total number of employees	Who is responsible for IT security within your organisation (by job title)?	0
Do your standard delivery / contract terms: allow for changes to the scope of work without a written variation of contract? (Yes/No)	Date established?	0
Please outline any additional controls your organisation has in place to mitigate the threat of ransomware attacks (e.g. endpoint detection tools, tagging of external emails, use of unique credentials):	Who is responsible for IT security within your organisation (by job title)?	0
What is the average value per transaction during the last 12 months? Please include currency	Please complete the answers to the questions below. Where you do not have the exact information available please provide the closest approximation and indicate that you have taken this approach.	0
Insurance details	Website address?	0
Regions of Customer/User are based/domiciled?	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
Expected 12 months number of Transactions?	Number of employees?	0
